x,y
-1.31,5.83
-1.62,6.95
-0.64,5.6
-1.96,4.83
-1.92,6.25
-1.98,6.33
-1.09,6.66
-1.27,5.7
-1.16,5.46
-2.55,6.7
-2.44,6.69
-2.3,6.62
-2.36,8.15
-2.36,8.16
-2.6,7.47
0.37,7.52
-2.18,8.3
-2.03,8.16
-2.12,8.29
-2.5,9.03
-2.11,7.73
-0.87,10.78
-0.79,10.82
-1.56,6.61
-1.53,6.58
-1.28,10.74
-1.47,8.79
-1.47,8.78
-1.74,8.75
-2.47,10.39
-0.52,8.56
-2.35,4.94
-0.34,6.43
-0.28,5.69
-0.36,5.74
0.47,6.61
-2.63,7.9
-2.8,10.59
-3.01,6.32
-2.83,6.33
-1.09,10.9
-0.95,10.92
-1.77,7.89
-1.59,6.76
-1.56,6.74
-0.1,7.05
-0.1,5.58
-0.01,6.13
-0.37,9.12
-0.52,8.55
-0.51,9.01
-0.51,8.74
-1.39,9.53
-1.51,9.37
0.19,6.09
-0.35,5.82
-0.2,5.56
-2.42,9.49
-2.42,9.27
-2.6,6.15
-0.22,7.83
-0.34,7.79
-0.61,7.78
-0.22,7.78
-2.39,10.88
-2.29,10.76
0.2,6.5
-2.35,7.36
-2.32,7.88
-2.03,7.23
-2.18,7.4
-1.99,5.31
0.48,9.45
-2.02,7.62
-1.91,7.64
0.0050858,5.6330141
-0.14,6.4
-2.5,10.06
-1.73,10.13
-1.99,9.84
-2.25,5.64
-1.51,9.16
-0.85,9.41
-1.8,9.06
-1.39705,9.151788
-1.73,9.11
-0.01,9.44
0.32,8.98
-1.28,10.73
-1.52,9.19
-1.84,9.08
-1.58,9.13
-1.59,9.13
-1.64,9.12
-1.66,9.12
-1.84,9.13
-1.82,9.08
