"","districts_clean","year","cases"
"1","Adansi North",2024,1
"2","Adansi South",2023,1
"3","Afadjato South",2024,1
"4","Afigya Kwabre North",2022,1
"5","Afram Plains South",2013,1
"6","Agona East",2023,1
"7","Agona West",2024,1
"8","Amansie South",2023,2
"9","Asante Akim South",2022,1
"10","Asikuma-Odoben-Brakwa",2024,1
"11","Asokore Mampong",2024,1
"12","Asokwa",2024,1
"13","Assin Foso",2023,1
"14","Assin South",2023,1
"15","Asunafo North",2023,1
"16","Asunafo North",2024,1
"17","Asunafo South",2012,1
"18","Atwima Mponua",2005,1
"19","Banda",2021,3
"20","Berekum West",2023,1
"21","Biakoye",2017,1
"22","Biakoye",2024,2
"23","Bole",2021,4
"24","Bolgatanga",2023,1
"25","Bolgatanga East",2021,1
"26","Bongo",2024,3
"27","Bosome Freho",2024,1
"28","Bosomtwe",2020,1
"29","Bosomtwe",2023,1
"30","Builsa North",2023,1
"31","Central Gonja",2012,1
"32","Central Gonja",2021,3
"33","Central Gonja",2022,1
"34","Central Tongu",2016,1
"35","Central Tongu",2024,1
"36","Daffiama-Bussie-Issa",2022,1
"37","East Akim - Abuakwa South",2024,1
"38","East Gonja",2021,2
"39","East Gonja",2024,1
"40","Ejura-Sekyedumase",2024,1
"41","Ellembelle",2023,1
"42","Ellembelle",2024,2
"43","Fanteakwa North",2023,1
"44","Ga North",2023,1
"45","Ga South",2024,2
"46","Ga West",2022,1
"47","Guan",2024,3
"48","Gushiegu",2024,1
"49","Ho",2021,1
"50","Jaman North",2023,1
"51","Jaman South",2016,1
"52","Jirapa",2005,1
"53","Jirapa",2013,1
"54","Jirapa",2024,2
"55","Juaboso",2006,2
"56","Juaboso",2023,1
"57","Kadjebi",2024,1
"58","Kasena-Nankana",2022,1
"59","Kasena-Nankana",2023,1
"60","Kasena-Nankana West",2016,1
"61","Keta",2024,3
"62","Ketu South",2023,1
"63","Ketu South",2024,1
"64","Kintampo South",2022,1
"65","Kpandai",2024,1
"66","Kumasi",2012,1
"67","Kwabre East",2022,1
"68","Kwabre East",2024,2
"69","Kwahu South",2022,1
"70","Ledzokuku",2023,1
"71","Lower-Manya Krobo",2023,1
"72","North Gonja",2021,2
"73","North Gonja",2023,1
"74","North Gonja",2024,1
"75","North Tongu",2019,1
"76","North-East Gonja",2021,7
"77","Nsawam-Adoagyiri",2023,1
"78","Offinso North",2024,1
"79","Okai Koi North",2023,1
"80","Pusiga",2024,2
"81","Saboba",2024,1
"82","Sawla-Tuna-Kalba",2021,2
"83","Sefwi-Akontombra",2023,1
"84","Sekondi-Takoradi",2024,2
"85","Sene East",2006,2
"86","Sene East",2023,1
"87","Sene West",2006,1
"88","Shama",2024,1
"89","Sissala West",2023,6
"90","Sissala West",2024,1
"91","South Dayi",2011,1
"92","Suhum",2024,1
"93","Sunyani",2021,1
"94","Sunyani",2024,2
"95","Tain",2021,1
"96","Tano South",2022,1
"97","Tano South",2023,1
"98","Tarkwa-Nsuaem",2023,1
"99","Tatale-Sangule",2022,1
"100","Techiman",2017,1
"101","Techiman North",2020,1
"102","Tema",2023,1
"103","Upper Manya-Krobo",2022,1
"104","Wa",2023,1
"105","Wa East",2011,2
"106","Wa East",2021,3
"107","Wa East",2024,1
"108","Wa West",2024,2
"109","Wassa Amenfi West",2005,1
"110","Wassa Amenfi West",2006,1
"111","Wassa Amenfi West",2022,1
"112","Wassa Amenfi West",2024,1
"113","Wenchi",2021,2
"114","West Gonja",2021,24
"115","West Gonja",2022,1
"116","Yendi",2021,1
"117","Yilo-Krobo",2024,1
"118","Yunyoo-Nasuan",2024,1
"119","Zabzugu",2011,1
