"","region","district","year","pop"
"1","Greater Accra","Ledzokuku",2015,185180.9168634
"2","Northern East","Chereponi",2015,80403.3360536918
"3","Upper West","Wa Municipal",2015,183488.743678924
"4","Upper West","Jirapa",2015,82879.2896602824
"5","Upper West","Sissala West",2015,58570.5976691917
"6","Upper West","Lambussie",2015,44796.5271836184
"7","Upper East","Bolgatanga Municipal",2015,127760.258667272
"8","Upper East","Bongo",2015,111475.647795968
"9","Upper East","Kasena-Nankana West",2015,74698.3030446172
"10","Upper West","Wa West",2015,82855.6510142908
"11","Savannah","Sawla-Tuna-Kalba",2015,106856.304183047
"12","Upper West","Sissala East",2015,74238.0724588782
"13","Upper East","Kasena-Nankana",2015,98248.5053248666
"14","Northern East","Yunyoo-Nasuan",2015,53376.3634192497
"15","Upper East","Garu",2015,54861.2785673477
"16","Northern East","East Mamprusi",2015,172019.885404281
"17","Upper East","Bawku West",2015,131839.208025306
"18","Bono","Dormaa East",2015,60699.4098509885
"19","Bono","Berekum",2015,100083.457408153
"20","Bono","Jaman South",2015,100468.808329884
"21","Bono","Sunyani West",2015,126629.406549949
"22","Ahafo","Asunafo North",2015,138387.37261546
"23","Bono East","Nkoranza North",2015,51587.2756606601
"24","Bono East","Kintampo South",2015,90019.7773018368
"25","Ahafo","Tano North",2015,86346.7025468126
"26","Volta","Ketu North",2015,99534.9709294736
"27","Volta","Ketu South",2015,232826.96380543
"28","Volta","Anloga",2015,86210.0969706178
"29","Volta","South Tongu",2015,100530.711663626
"30","Oti","Jasikan",2015,54163.4872917011
"31","Oti","Krachi East",2015,109923.13792491
"32","Oti","Nkwanta South",2015,128447.681086022
"33","Ashanti","Afigya Kwabre North",2015,60217.8881537281
"34","Ashanti","Atwima Kwanwoma",2015,189030.295748442
"35","Ashanti","Sekyere South",2015,111391.346714329
"36","Ashanti","Sekyere East",2015,71654.9516874179
"37","Ashanti","Sekyere Central",2015,63818.0902268738
"38","Ashanti","Offinso North",2015,71415.6999980286
"39","Ashanti","Offinso",2015,127000.858010072
"40","Greater Accra","Adentan",2015,191624.016940851
"41","Bono","Dormaa Municipal",2015,103758.62586654
"42","Ashanti","Ahafo Ano South West",2015,66418.5798658207
"43","Ashanti","Bekwai",2015,128236.647541065
"44","Ashanti","Bosomtwe",2015,146849.904869907
"45","Central","Ajumako-Enyan-Essiam",2015,110941.28489304
"46","Central","Gomoa West",2015,118722.04496875
"47","Ashanti","Obuasi",2015,86615.4829297215
"48","Ashanti","Kwabre East",2015,265457.206718437
"49","Ashanti","Ejura-Sekyedumase",2015,126800.877958547
"50","Ashanti","Atwima Nwabiagya",2015,200592.948761657
"51","Ashanti","Atwima Mponua",2015,141590.9674921
"52","Ashanti","Adansi South",2015,78195.5494406894
"53","Ashanti","Adansi Asokwa",2015,66751.7792751305
"54","Ashanti","Bosome Freho",2015,56846.3786118478
"55","Ashanti","Asante Mampong",2015,106872.965755232
"56","Central","Agona West",2015,119061.394509498
"57","Central","Agona East",2015,99855.7459401675
"58","Central","Assin North",2015,84770.7561723329
"59","Central","Assin South",2015,96089.8868359886
"60","Central","Asikuma-Odoben-Brakwa",2015,119035.09666292
"61","Central","Efutu",2015,90850.5010344312
"62","Central","Gomoa East",2015,330762.610457212
"63","Central","Abura-Asebu-Kwamankese",2015,107141.206427865
"64","Western","Jomoro",2015,116447.620245963
"65","Western","Ellembelle",2015,111013.019387815
"66","Western","Prestea-Huni Valley",2015,212724.074909847
"67","Western","Ahanta West",2015,140644.816350318
"68","Western","Nzema East",2015,89745.0732770488
"69","Western","Tarkwa-Nsuaem",2015,198535.196882684
"70","Western North","Sefwi-Akontombra",2015,62140.5275665559
"71","Eastern","Akyemansa",2015,84027.3124647625
"72","Eastern","Kwahu South",2015,86950.0764004365
"73","Eastern","Asene Manso Akroso",2015,69894.9396672286
"74","Eastern","Upper Manya-Krobo",2015,65974.9258812778
"75","Eastern","Achiase",2015,43648.72822145
"76","Eastern","Okere",2015,47306.2445390932
"77","Eastern","Yilo-Krobo",2015,115721.80113934
"78","Eastern","Atiwa West",2015,55168.637209937
"79","Eastern","New Juaben North",2015,78103.7693456598
"80","Eastern","Fanteakwa North",2015,56250.7479706705
"81","Eastern","Birim North",2015,75730.003567066
"82","Eastern","Asuogyaman",2015,94386.3666846566
"83","Eastern","Kwahu East",2015,64993.8726594634
"84","Eastern","Kwahu West",2015,131080.441569991
"85","Western North","Bibiani-Anhwiaso-Bekwai",2015,153474.982749384
"86","Central","Upper Denkyira East",2015,94627.45227414
"87","Ashanti","Amansie Central",2015,84019.7524079978
"88","Ashanti","Amansie South",2015,104696.491731446
"89","Central","Upper Denkyira West",2015,90139.9934406728
"90","Central","Komenda-Edna-Eguafo-Abirem",2015,152657.377932407
"91","Western North","Sefwi-Wiawso",2015,139011.771301616
"92","Ahafo","Asunafo South",2015,85759.1144037917
"93","Bono East","Nkoranza South",2015,105612.876605377
"94","Savannah","Bole",2015,106347.338856619
"95","Eastern","Lower-Manya Krobo",2015,105813.120877083
"96","Bono East","Kintampo North",2015,121832.151797056
"97","Bono East","Atebubu-Amanten",2015,133598.578818813
"98","Northern","Kpandai",2015,81180.1031659991
"99","Oti","Nkwanta North",2015,113596.392941855
"100","Oti","Biakoye",2015,65264.5507770181
"101","Savannah","Central Gonja",2015,127721.917570606
"102","Bono East","Pru West",2015,43520.8469343632
"103","Northern","Savelugu",2015,110847.598429184
"104","Northern","Karaga",2015,116246.497288454
"105","Savannah","East Gonja",2015,147891.338212155
"106","Volta","South Dayi",2015,52106.1526155286
"107","Upper West","Wa East",2015,86581.8400634341
"108","Northern","Saboba",2015,88592.0939244479
"109","Northern","Gushiegu",2015,136151.881976176
"110","Northern","Nanumba North",2015,147525.764066722
"111","Northern","Nanumba South",2015,125271.229112029
"112","Bono","Wenchi",2015,113704.960312258
"113","Ahafo","Tano South",2015,80525.46488747
"114","Bono","Sunyani Municipal",2015,177712.945932757
"115","Ashanti","Asante Akim South",2015,111317.715092693
"116","Greater Accra","Ada East",2015,72468.8292361684
"117","Greater Accra","Shai-Osudoku",2015,97975.3069150709
"118","Greater Accra","Ada West",2015,67246.6059812196
"119","Greater Accra","Ningo Prampram",2015,197338.225009456
"120","Bono East","Techiman North",2015,85085.7991507165
"121","Bono","Banda",2015,26546.4098557532
"122","Bono","Jaman North",2015,109120.333932668
"123","Bono","Tain",2015,104985.916048959
"124","Ashanti","Sekyere Kumawu",2015,58505.7570445687
"125","Ashanti","Sekyere Afram Plains",2015,32379.8701243512
"126","Ashanti","Asante Akim North",2015,78601.2869186029
"127","Ashanti","Asante Akim Central",2015,84612.3819611967
"128","Ashanti","Juaben",2015,55546.0970522575
"129","Greater Accra","La-Dade-Kotopon",2015,130360.451846533
"130","Western North","Aowin",2015,120680.28297773
"131","Western North","Suaman",2015,36029.3238507882
"132","Western North","Bia East",2015,48468.2652271613
"133","Western North","Bia West",2015,100321.704139858
"134","Western North","Bodi",2015,60345.1014715359
"135","Western North","Juaboso",2015,90568.1548284702
"136","Western","Shama",2015,108836.351227634
"137","Western","Wassa East",2015,94293.8623102121
"138","Western","Mpohor",2015,46190.0982748345
"139","Western","Wassa Amenfi West",2015,121567.883686364
"140","Western","Wassa Amenfi Central",2015,124447.428526547
"141","Central","Mfantsiman",2015,144545.717073709
"142","Central","Ekumfi",2015,67648.5497587137
"143","Central","Twifo-Hemang Lower Denkyira",2015,61527.5057470202
"144","Central","Twifo-Ati-Mokwa",2015,92776.3937513307
"145","Central","Awutu Senya",2015,151900.49825016
"146","Greater Accra","La-Nkwantanang-Madina",2015,248730.730612729
"147","Greater Accra","Ga East",2015,292008.600937359
"148","Western","Wassa Amenfi East",2015,148726.022892609
"149","Central","Gomoa Central",2015,61458.5610162504
"150","Central","Assin Foso",2015,73994.5571501032
"151","Greater Accra","Ayawaso West",2015,88287.3219681531
"152","Greater Accra","Ga West",2015,306613.962009974
"153","Oti","Krachi West",2015,54229.3248503506
"154","Oti","Krachi Nchumuru",2015,73620.7294784486
"155","Volta","Agortime-Ziope",2015,36269.712527737
"156","Volta","Adaklu",2015,37957.5475431457
"157","Volta","Akatsi South",2015,85914.9341771007
"158","Volta","Akatsi North",2015,28961.2391384915
"159","Volta","Ho",2015,161547.148901101
"160","Volta","Hohoe",2015,105069.271950707
"161","Volta","Ho West",2015,77778.6690847911
"162","Volta","Afadjato South",2015,68539.2180166356
