"","District","zone_final"
"1","Ablekuma Central","Coastal Savanna"
"2","Ablekuma North","Coastal Savanna"
"3","Ablekuma West","Coastal Savanna"
"4","Abuakwa North","Deciduous Forest"
"5","Abura-Asebu-Kwamankese","Deciduous Forest"
"6","Accra Metro","Coastal Savanna"
"7","Achiase","Deciduous Forest"
"8","Ada East","Coastal Savanna"
"9","Ada West","Coastal Savanna"
"10","Adaklu","Coastal Savanna"
"11","Adansi Akrofuom","Deciduous Forest"
"12","Adansi Asokwa","Deciduous Forest"
"13","Adansi North","Deciduous Forest"
"14","Adansi South","Deciduous Forest"
"15","Adentan","Coastal Savanna"
"16","Afadjato South","Coastal Savanna"
"17","Afigya Kwabre North","Deciduous Forest"
"18","Afigya Kwabre South","Deciduous Forest"
"19","Afram Plains South","Deciduous Forest"
"20","Agona East","Deciduous Forest"
"21","Agona West","Deciduous Forest"
"22","Agortime-Ziope","Coastal Savanna"
"23","Ahafo Ano North","Deciduous Forest"
"24","Ahafo Ano South East","Deciduous Forest"
"25","Ahafo Ano South West","Deciduous Forest"
"26","Ahanta West","Wet Evergreen"
"27","Ajumako-Enyan-Essiam","Deciduous Forest"
"28","Akatsi North","Coastal Savanna"
"29","Akatsi South","Coastal Savanna"
"30","Akwapim North","Deciduous Forest"
"31","Akwapim South","Deciduous Forest"
"32","Akyemansa","Deciduous Forest"
"33","Amansie Central","Deciduous Forest"
"34","Amansie South","Deciduous Forest"
"35","Amansie West","Deciduous Forest"
"36","Anloga","Coastal Savanna"
"37","Aowin","Deciduous Forest"
"38","Asante Akim Central","Deciduous Forest"
"39","Asante Akim North","Deciduous Forest"
"40","Asante Akim South","Deciduous Forest"
"41","Asante Mampong","Deciduous Forest"
"42","Asene Manso Akroso","Deciduous Forest"
"43","Ashaiman","Coastal Savanna"
"44","Asikuma-Odoben-Brakwa","Deciduous Forest"
"45","Asokore Mampong","Deciduous Forest"
"46","Asokwa","Deciduous Forest"
"47","Assin Foso","Deciduous Forest"
"48","Assin North","Deciduous Forest"
"49","Assin South","Deciduous Forest"
"50","Asunafo North","Deciduous Forest"
"51","Asunafo South","Deciduous Forest"
"52","Asuogyaman","Deciduous Forest"
"53","Asutifi North","Deciduous Forest"
"54","Asutifi South","Deciduous Forest"
"55","Atebubu-Amanten","Transitional Zone"
"56","Atiwa East","Deciduous Forest"
"57","Atiwa West","Deciduous Forest"
"58","Atwima Kwanwoma","Deciduous Forest"
"59","Atwima Mponua","Deciduous Forest"
"60","Atwima Nwabiagya","Deciduous Forest"
"61","Atwima Nwabiagya North","Deciduous Forest"
"62","Awutu Senya","Deciduous Forest"
"63","Awutu Senya East","Deciduous Forest"
"64","Ayawaso Central","Coastal Savanna"
"65","Ayawaso East","Coastal Savanna"
"66","Ayawaso North","Coastal Savanna"
"67","Ayawaso West","Coastal Savanna"
"68","Ayensuano","Deciduous Forest"
"69","Banda","Transitional Zone"
"70","Bawku Municipal","Guinea Savanna"
"71","Bawku West","Guinea Savanna"
"72","Bekwai","Deciduous Forest"
"73","Berekum","Transitional Zone"
"74","Berekum West","Transitional Zone"
"75","Bia East","Deciduous Forest"
"76","Bia West","Deciduous Forest"
"77","Biakoye","Guinea Savanna"
"78","Bibiani-Anhwiaso-Bekwai","Deciduous Forest"
"79","Binduri","Guinea Savanna"
"80","Birim Central","Deciduous Forest"
"81","Birim North","Deciduous Forest"
"82","Birim south","Deciduous Forest"
"83","Bodi","Deciduous Forest"
"84","Bole","Guinea Savanna"
"85","Bolgatanga East","Guinea Savanna"
"86","Bolgatanga Municipal","Guinea Savanna"
"87","Bongo","Guinea Savanna"
"88","Bosome Freho","Deciduous Forest"
"89","Bosomtwe","Deciduous Forest"
"90","Builsa North","Guinea Savanna"
"91","Builsa South","Guinea Savanna"
"92","Bunkpurugu -Nakpanduri","Guinea Savanna"
"93","Cape Coast","Deciduous Forest"
"94","Central Gonja","Guinea Savanna"
"95","Central Tongu","Coastal Savanna"
"96","Chereponi","Guinea Savanna"
"97","Daffiama-Bussie-Issa","Guinea Savanna"
"98","Denkyembour","Deciduous Forest"
"99","Dormaa East","Transitional Zone"
"100","Dormaa Municipal","Transitional Zone"
"101","Dormaa West","Transitional Zone"
"102","East Akim - Abuakwa South","Deciduous Forest"
"103","East Gonja","Guinea Savanna"
"104","East Mamprusi","Guinea Savanna"
"105","Effia-Kwesimintsim","Wet Evergreen"
"106","Efutu","Deciduous Forest"
"107","Ejisu","Deciduous Forest"
"108","Ejura-Sekyedumase","Deciduous Forest"
"109","Ekumfi","Deciduous Forest"
"110","Ellembelle","Wet Evergreen"
"111","Fanteakwa North","Deciduous Forest"
"112","Fanteakwa South","Deciduous Forest"
"113","Ga Central","Coastal Savanna"
"114","Ga East","Coastal Savanna"
"115","Ga North","Coastal Savanna"
"116","Ga South","Coastal Savanna"
"117","Ga West","Coastal Savanna"
"118","Garu","Guinea Savanna"
"119","Gomoa Central","Deciduous Forest"
"120","Gomoa East","Deciduous Forest"
"121","Gomoa West","Deciduous Forest"
"122","Guan District","Guinea Savanna"
"123","Gushiegu","Guinea Savanna"
"124","Ho","Coastal Savanna"
"125","Ho West","Coastal Savanna"
"126","Hohoe","Coastal Savanna"
"127","Jaman North","Transitional Zone"
"128","Jaman South","Transitional Zone"
"129","Jasikan","Guinea Savanna"
"130","Jirapa","Guinea Savanna"
"131","Jomoro","Wet Evergreen"
"132","Juaben","Deciduous Forest"
"133","Juaboso","Deciduous Forest"
"134","Kadjebi","Guinea Savanna"
"135","Karaga","Guinea Savanna"
"136","Kasena-Nankana","Guinea Savanna"
"137","Kasena-Nankana West","Guinea Savanna"
"138","Keta","Coastal Savanna"
"139","Ketu North","Coastal Savanna"
"140","Ketu South","Coastal Savanna"
"141","Kintampo North","Transitional Zone"
"142","Kintampo South","Transitional Zone"
"143","Komenda-Edna-Eguafo-Abirem","Deciduous Forest"
"144","Korle-Klottey","Coastal Savanna"
"145","Kpandai","Guinea Savanna"
"146","Kpando","Coastal Savanna"
"147","Kpone-Katamanso","Coastal Savanna"
"148","Krachi East","Guinea Savanna"
"149","Krachi Nchumuru","Guinea Savanna"
"150","Krachi West","Guinea Savanna"
"151","Krowor","Coastal Savanna"
"152","Kumasi","Deciduous Forest"
"153","Kumbungu","Guinea Savanna"
"154","Kwabre East","Deciduous Forest"
"155","Kwadaso","Deciduous Forest"
"156","Kwaebibirem","Deciduous Forest"
"157","Kwahu East","Deciduous Forest"
"158","Kwahu North","Deciduous Forest"
"159","Kwahu South","Deciduous Forest"
"160","Kwahu West","Deciduous Forest"
"161","La-Dade-Kotopon","Coastal Savanna"
"162","La-Nkwantanang-Madina","Coastal Savanna"
"163","Lambussie","Guinea Savanna"
"164","Lawra","Guinea Savanna"
"165","Ledzokuku","Coastal Savanna"
"166","Lower-Manya Krobo","Deciduous Forest"
"167","Mamprugu-Moagduri","Guinea Savanna"
"168","Mfantsiman","Deciduous Forest"
"169","Mion","Guinea Savanna"
"170","Mpohor","Wet Evergreen"
"171","Nabdam","Guinea Savanna"
"172","Nadowli-Kaleo","Guinea Savanna"
"173","Nandom","Guinea Savanna"
"174","Nanton","Guinea Savanna"
"175","Nanumba North","Guinea Savanna"
"176","Nanumba South","Guinea Savanna"
"177","New Juaben North","Deciduous Forest"
"178","New Juaben South","Deciduous Forest"
"179","Ningo Prampram","Coastal Savanna"
"180","Nkoranza North","Transitional Zone"
"181","Nkoranza South","Transitional Zone"
"182","Nkwanta North","Guinea Savanna"
"183","Nkwanta South","Guinea Savanna"
"184","North Dayi","Coastal Savanna"
"185","North Gonja","Guinea Savanna"
"186","North Tongu","Coastal Savanna"
"187","North-East Gonja","Guinea Savanna"
"188","Nsawam-Adoagyiri","Deciduous Forest"
"189","Nzema East","Wet Evergreen"
"190","Obuasi","Deciduous Forest"
"191","Obuasi East","Deciduous Forest"
"192","Offinso","Deciduous Forest"
"193","Offinso North","Deciduous Forest"
"194","Oforikrom","Deciduous Forest"
"195","Okai Koi North","Coastal Savanna"
"196","Okere","Deciduous Forest"
"197","Old Tafo","Deciduous Forest"
"198","Prestea-Huni Valley","Wet Evergreen"
"199","Pru","Transitional Zone"
"200","Pru West","Transitional Zone"
"201","Pusiga","Guinea Savanna"
"202","Saboba","Guinea Savanna"
