"","district_final","year","cases"
"1","ablekuma central",2006,1
"2","ablekuma central",2016,1
"3","ablekuma central",2021,3
"4","ablekuma central",2022,4
"5","ablekuma central",2023,4
"6","ablekuma north",2019,1
"7","ablekuma north",2021,2
"8","ablekuma north",2023,3
"9","ablekuma north",2024,2
"10","ablekuma west",2008,1
"11","ablekuma west",2009,1
"12","ablekuma west",2015,1
"13","ablekuma west",2016,1
"14","ablekuma west",2019,1
"15","ablekuma west",2021,2
"16","ablekuma west",2022,7
"17","ablekuma west",2023,2
"18","ablekuma west",2024,3
"19","abuakwa north",2005,10
"20","abuakwa north",2006,7
"21","abuakwa north",2008,1
"22","abuakwa north",2009,4
"23","abuakwa north",2010,1
"24","abuakwa north",2011,12
"25","abuakwa north",2012,1
"26","abuakwa north",2015,3
"27","abuakwa north",2016,2
"28","abuakwa north",2017,2
"29","abuakwa north",2018,3
"30","abuakwa north",2020,1
"31","abuakwa north",2021,6
"32","abuakwa north",2022,6
"33","abuakwa north",2023,10
"34","abuakwa north",2024,6
"35","abura asebu kwamankese",2005,1
"36","abura asebu kwamankese",2014,1
"37","abura asebu kwamankese",2015,5
"38","abura asebu kwamankese",2016,1
"39","abura asebu kwamankese",2017,4
"40","abura asebu kwamankese",2018,4
"41","abura asebu kwamankese",2019,4
"42","abura asebu kwamankese",2020,4
"43","abura asebu kwamankese",2021,7
"44","abura asebu kwamankese",2022,3
"45","abura asebu kwamankese",2023,2
"46","abura asebu kwamankese",2024,3
"47","accra metro",2008,1
"48","accra metro",2009,1
"49","accra metro",2012,1
"50","accra metro",2014,2
"51","accra metro",2015,3
"52","accra metro",2016,2
"53","accra metro",2018,2
"54","accra metro",2019,14
"55","accra metro",2020,2
"56","accra metro",2021,6
"57","accra metro",2022,6
"58","accra metro",2023,2
"59","accra metro",2024,7
"60","achiase",2005,1
"61","achiase",2006,1
"62","achiase",2011,5
"63","achiase",2012,3
"64","achiase",2013,2
"65","achiase",2014,3
"66","achiase",2016,2
"67","achiase",2017,1
"68","achiase",2020,1
"69","achiase",2021,2
"70","achiase",2022,3
"71","achiase",2023,2
"72","achiase",2024,1
"73","ada east",2006,1
"74","ada east",2010,1
"75","ada east",2014,1
"76","ada east",2017,2
"77","ada east",2021,2
"78","ada east",2022,3
"79","ada east",2023,6
"80","ada east",2024,5
"81","ada west",2016,2
"82","ada west",2018,9
"83","ada west",2019,8
"84","ada west",2020,1
"85","ada west",2021,5
"86","ada west",2022,4
"87","ada west",2023,3
"88","ada west",2024,4
"89","adaklu",2006,1
"90","adaklu",2010,5
"91","adaklu",2011,2
"92","adaklu",2015,2
"93","adaklu",2016,4
"94","adaklu",2017,2
"95","adaklu",2018,6
"96","adaklu",2019,7
"97","adaklu",2020,2
"98","adaklu",2021,12
"99","adaklu",2022,12
"100","adaklu",2023,10
"101","adaklu",2024,7
"102","adansi akrofuom",2020,3
"103","adansi akrofuom",2021,2
"104","adansi akrofuom",2022,3
"105","adansi akrofuom",2023,1
"106","adansi akrofuom",2024,3
"107","adansi asokwa",2005,2
"108","adansi asokwa",2006,10
"109","adansi asokwa",2008,1
"110","adansi asokwa",2010,7
"111","adansi asokwa",2011,9
"112","adansi asokwa",2012,2
"113","adansi asokwa",2013,5
"114","adansi asokwa",2014,1
"115","adansi asokwa",2015,2
"116","adansi asokwa",2017,1
"117","adansi asokwa",2020,2
"118","adansi asokwa",2021,15
"119","adansi asokwa",2022,7
"120","adansi asokwa",2023,4
"121","adansi asokwa",2024,1
"122","adansi north",2018,1
"123","adansi north",2019,6
