"district","year","Coverage_stock"
"Ablekuma Central",2000,0.299963455531708
"Ablekuma Central",2001,0.32355351988843
"Ablekuma Central",2002,0.343269752913862
"Ablekuma Central",2003,0.359450365094241
"Ablekuma Central",2004,0.376460235372036
"Ablekuma Central",2005,0.394739285212219
"Ablekuma Central",2006,0.411212404530899
"Ablekuma Central",2007,0.429104592996798
"Ablekuma Central",2008,0.444967067076481
"Ablekuma Central",2009,0.46067753905105
"Ablekuma Central",2010,0.474214105693355
"Ablekuma Central",2011,0.484106923070728
"Ablekuma Central",2012,0.493681330531092
"Ablekuma Central",2013,0.504629195129621
"Ablekuma Central",2014,0.513380160402229
"Ablekuma Central",2015,0.528037406184025
"Ablekuma Central",2016,0.515485888786232
"Ablekuma Central",2017,0.504290589098764
"Ablekuma Central",2018,1
"Ablekuma Central",2019,0.998470239445121
"Ablekuma Central",2020,0.995468482719598
"Ablekuma Central",2021,0.99558802544657
"Ablekuma Central",2022,0.995702842107851
"Ablekuma Central",2023,0.995812945045552
"Ablekuma Central",2024,0.995919157917732
"Ablekuma Central",2025,0.996021198436562
"Ablekuma North",2000,0.299963455525707
"Ablekuma North",2001,0.323553519872829
"Ablekuma North",2002,0.343269752898873
"Ablekuma North",2003,0.359450365090221
"Ablekuma North",2004,0.376460235365026
"Ablekuma North",2005,0.394739285207842
"Ablekuma North",2006,0.411212404533028
"Ablekuma North",2007,0.429104592986872
"Ablekuma North",2008,0.44496706706686
"Ablekuma North",2009,0.46067753904613
"Ablekuma North",2010,0.47421410568784
"Ablekuma North",2011,0.484106923062413
"Ablekuma North",2012,0.493681330525967
"Ablekuma North",2013,0.504629195125031
"Ablekuma North",2014,0.513380160393894
"Ablekuma North",2015,0.528037406180862
"Ablekuma North",2016,0.512331921711674
"Ablekuma North",2017,0.501588595492184
"Ablekuma North",2018,1
"Ablekuma North",2019,1
"Ablekuma North",2020,0.991123405007549
"Ablekuma North",2021,0.988210292474566
"Ablekuma North",2022,0.983282878239838
"Ablekuma North",2023,0.983711208839269
"Ablekuma North",2024,0.981177043027885
"Ablekuma North",2025,0.981647706742841
"Ablekuma West",2000,0.299963455526914
"Ablekuma West",2001,0.323553519877279
"Ablekuma West",2002,0.343269752908136
"Ablekuma West",2003,0.359450365093318
"Ablekuma West",2004,0.376460235371884
"Ablekuma West",2005,0.394739285216208
"Ablekuma West",2006,0.411212404535142
"Ablekuma West",2007,0.429104592995433
"Ablekuma West",2008,0.444967067079047
"Ablekuma West",2009,0.460677539051228
"Ablekuma West",2010,0.474214105688219
"Ablekuma West",2011,0.484106923064481
"Ablekuma West",2012,0.493681330522323
"Ablekuma West",2013,0.504629195123579
"Ablekuma West",2014,0.513380160392245
"Ablekuma West",2015,0.528037406181322
"Ablekuma West",2016,0.542075050291583
"Ablekuma West",2017,0.55530161621978
"Ablekuma West",2018,1
"Ablekuma West",2019,1
"Ablekuma West",2020,0.998049262123101
"Ablekuma West",2021,0.99810072314841
"Ablekuma West",2022,0.9981501496862
"Ablekuma West",2023,0.99819754704953
"Ablekuma West",2024,0.998243269808579
"Ablekuma West",2025,0.998287196443453
"Abuakwa North",2000,0.548771638791895
"Abuakwa North",2001,0.558014894412844
"Abuakwa North",2002,0.572811855273505
"Abuakwa North",2003,0.586973044657332
"Abuakwa North",2004,0.596923603569592
"Abuakwa North",2005,0.609962275881396
"Abuakwa North",2006,0.622635599703572
"Abuakwa North",2007,0.634724121459498
"Abuakwa North",2008,0.646214753647466
"Abuakwa North",2009,0.657212263301924
"Abuakwa North",2010,0.665524203582257
"Abuakwa North",2011,0.67360373327315
"Abuakwa North",2012,0.683750939273844
"Abuakwa North",2013,0.689246970092238
"Abuakwa North",2014,0.698793739747833
"Abuakwa North",2015,0.707866230899221
"Abuakwa North",2016,0.714765475352735
"Abuakwa North",2017,0.723004103207518
"Abuakwa North",2018,0.730685100369993
"Abuakwa North",2019,0.73802219768702
"Abuakwa North",2020,0.924232514840044
"Abuakwa North",2021,0.926231282853189
"Abuakwa North",2022,0.928151030509876
"Abuakwa North",2023,0.9267117800629
"Abuakwa North",2024,0.927688417636223
"Abuakwa North",2025,0.929496552141951
"Abura-Asebu-Kwamankese",2000,0.299963455526411
"Abura-Asebu-Kwamankese",2001,0.319071677689315
"Abura-Asebu-Kwamankese",2002,0.341868078754211
"Abura-Asebu-Kwamankese",2003,0.363685001561801
"Abura-Asebu-Kwamankese",2004,0.384539533938727
"Abura-Asebu-Kwamankese",2005,0.404448383502765
"Abura-Asebu-Kwamankese",2006,0.423799379636369
"Abura-Asebu-Kwamankese",2007,0.442257436962486
"Abura-Asebu-Kwamankese",2008,0.459802572084689
"Abura-Asebu-Kwamankese",2009,0.476594754603227
"Abura-Asebu-Kwamankese",2010,0.492781972243212
"Abura-Asebu-Kwamankese",2011,0.508527045750874
"Abura-Asebu-Kwamankese",2012,0.52380625639231
"Abura-Asebu-Kwamankese",2013,0.538553780965878
"Abura-Asebu-Kwamankese",2014,0.55273005710146
"Abura-Asebu-Kwamankese",2015,0.566202063283328
"Abura-Asebu-Kwamankese",2016,0.579104571094612
"Abura-Asebu-Kwamankese",2017,0.591261587530818
"Abura-Asebu-Kwamankese",2018,0.907574340580348
"Abura-Asebu-Kwamankese",2019,0.910092344814024
"Abura-Asebu-Kwamankese",2020,0.912501339903323
"Abura-Asebu-Kwamankese",2021,0.914809579678393
"Abura-Asebu-Kwamankese",2022,0.917026564277942
"Abura-Asebu-Kwamankese",2023,0.919152532010375
